step,training_loss,validation_loss
0,6.254887580871582,6.283314228057861
100,2.397270917892456,2.1263086795806885
200,1.5705041885375977,1.3971375226974487
300,1.4208863973617554,1.24050772190094
400,1.3895481824874878,1.1609256267547607
500,1.1784381866455078,1.0762168169021606
600,1.1298011541366577,0.992384135723114
700,1.1408876180648804,0.9842260479927063
800,1.1322098970413208,0.9258856773376465
900,1.1621789932250977,0.8605916500091553
1000,1.0704563856124878,0.8766117095947266
1100,1.0735474824905396,0.8884296417236328
1200,1.042056679725647,0.8314112424850464
1300,1.0244464874267578,0.8057320713996887
1400,1.0127544403076172,0.8224912881851196
1500,0.9835441708564758,0.7936009764671326
1600,0.9936889410018921,0.756115734577179
1700,1.0099843740463257,0.7674916386604309
1800,0.9530637860298157,0.808976948261261
1900,0.9541685581207275,0.7763330340385437
2000,0.9585346579551697,0.7591297626495361
2100,0.923622727394104,0.7568895816802979
2200,0.9398395419120789,0.7657516598701477
2300,0.9530676603317261,0.7720829844474792
2400,0.9294161200523376,0.7553962469100952
2500,0.9109691381454468,0.7560949325561523
2600,0.9214180111885071,0.7429155707359314
2700,0.9391086101531982,0.7400104999542236
2800,0.9325653314590454,0.7312405109405518
2900,0.9245201349258423,0.7361617088317871
3000,0.9198685884475708,0.7509177327156067
