step,training_loss,validation_loss
0,6.237887382507324,6.239626884460449
100,2.00085186958313,1.8995360136032104
200,1.51589834690094,1.3459535837173462
300,1.3257993459701538,1.2445741891860962
400,1.1974987983703613,1.1482902765274048
500,1.1276884078979492,1.0445575714111328
600,1.044394850730896,0.9510484337806702
700,1.0160661935806274,0.9473237991333008
800,0.9961098432540894,0.9177733063697815
900,0.9362707138061523,0.8910972476005554
1000,0.925014853477478,0.861000120639801
1100,0.935655415058136,0.8665896058082581
1200,0.9682230949401855,0.8355686664581299
1300,0.9184499979019165,0.8374159336090088
1400,0.9275929927825928,0.8597554564476013
1500,0.9159178733825684,0.8596595525741577
1600,0.9206446409225464,0.8384826183319092
1700,0.9059441089630127,0.792658805847168
1800,0.8863449692726135,0.8079730868339539
1900,0.8738536238670349,0.8319655656814575
2000,0.9107182025909424,0.8044977188110352
2100,0.8812073469161987,0.8346027135848999
2200,0.888592541217804,0.8191232085227966
2300,0.8768254518508911,0.8112077713012695
2400,0.8677344918251038,0.8124716877937317
2500,0.873084545135498,0.7693145275115967
2600,0.8725227117538452,0.8255918025970459
2700,0.8701483011245728,0.81233149766922
2800,0.8710896968841553,0.801764965057373
2900,0.8743680715560913,0.8060929775238037
3000,0.8617157340049744,0.8086894750595093
